Protein Accession;Protein Name;Gene ID;Protein Description;MPT896_2690;MPT897_2691;MPT898_2692;MPT899_2693;MPT900_2694;MPT901_2695;MPT902_2696;MPT903_2697;MPT904_2698;MPT905_2699;MPT906_2700;MPT907_2701;MPT908_2702;MPT909_2703;MPT910_2704;MPT911_2705;MPT912_2706;MPT913_2707;MPT914_2708;MPT915_2709
P82663;RT25_HUMAN;MRPS25;Small ribosomal subunit protein mS25;197.9772;96.194;165.4636;118.003;116.5991;156.9424;114.4982;277.5216;188.2806;126.3901;60.9227;119.2524;92.1255;90.2775;82.9454;100.9905;97.7922;84.7059;150.5663;78.7854
P82664;RT10_HUMAN;MRPS10;Small ribosomal subunit protein uS10m;133.1624;285.0838;407.8628;274.0856;319.4054;246.9164;288.2514;420.0809;224.5519;397.6699;253.3628;352.4814;271.4214;436.5196;481.5827;291.5722;296.2577;233.8461;342.1229;320.8111
P82909;KGD4_HUMAN;KGD4;Alpha-ketoglutarate dehydrogenase component 4;139.294;89.3959;85.4629;54.8612;42.163;;57.4816;87.9532;47.6474;40.457;107.1894;105.5756;64.1409;31.6555;65.1127;106.5643;81.7231;49.3244;;33.3915
P82914;RT15_HUMAN;MRPS15;Small ribosomal subunit protein uS15m;213.9591;59.6705;107.8044;142.8834;140.2652;228.5618;122.0644;129.3626;202.8749;188.8846;18.1343;54.4769;34.9434;92.5655;67.7869;;59.4894;44.9016;110.1167;51.8409
P82921;RT21_HUMAN;MRPS21;Small ribosomal subunit protein bS21m;129.6882;49.4555;80.3682;52.1958;129.6252;140.2626;59.6412;67.138;82.1418;104.3969;29.3747;62.4724;46.8593;;94.5846;67.8671;54.6767;64.2109;60.0326;82.4596
P82930;RT34_HUMAN;MRPS34;Small ribosomal subunit protein mS34;162.5295;196.3074;201.7846;148.0843;309.3131;177.1622;184.1187;245.1291;162.9519;259.2481;67.3092;135.1507;105.9474;129.4241;160.9853;99.8416;128.8378;93.2561;114.3521;162.5888
P82933;RT09_HUMAN;MRPS9;Small ribosomal subunit protein uS9m;102.8252;118.888;155.6755;84.607;144.9326;127.8392;134.3202;183.9197;81.8277;149.1541;80.6716;152.054;91.054;83.4266;127.7964;68.7175;124.9614;116.5951;99.0615;165.2121
P82979;SARNP_HUMAN;SARNP;SAP domain-containing ribonucleoprotein;262.3882;478.599;950.8494;167.4077;283.6324;430.1915;643.8864;1181.5947;213.2304;313.9196;1167.071;832.8329;305.5168;399.5398;859.8549;1071.4908;812.2119;412.0616;449.3268;636.6424
P83111;LACTB_HUMAN;LACTB;Serine beta-lactamase-like protein LACTB, mitochondrial;204.4287;143.8143;143.3191;126.9381;241.5854;205.4213;270.0396;267.8778;207.2127;279.247;123.6731;95.8047;72.6591;104.2018;84.2594;151.2152;83.35;68.1456;101.0374;120.3487
P83731;RL24_HUMAN;RPL24;Large ribosomal subunit protein eL24;1520.5131;313.8135;354.8227;870.1702;1009.899;1532.6442;502.0435;421.1957;992.5557;453.5994;166.8725;170.8807;198.3536;509.2969;307.4868;111.9581;150.8541;187.992;537.7249;194.1647
"P83881;Q969Q0";"RL36A_HUMAN;RL36L_HUMAN";"RPL36A;RPL36AL";"Large ribosomal subunit protein eL42;Ribosomal protein eL42-like";1288.9454;500.9902;345.2099;826.2371;1375.7322;1711.5665;645.4506;594.7624;1068.6675;802.5724;276.2375;190.5646;237.2116;665.5165;459.9562;281.1133;215.1229;190.0352;445.8312;209.1018
P83916;CBX1_HUMAN;CBX1;Chromobox protein homolog 1;93.291;66.2085;58.222;41.5943;;68.4872;65.3213;83.3159;98.3933;56.9026;233.7264;184.5275;165.4569;170.0864;185.6308;226.5266;189.5631;124.287;164.9952;141.2055
P84022;SMAD3_HUMAN;SMAD3;Mothers against decapentaplegic homolog 3;232.4456;627.5322;562.9577;306.7854;364.2598;291.7388;450.8909;383.2428;374.4799;436.5103;101.6005;216.3011;144.9795;144.8186;279.2262;211.1145;266.1104;164.5774;123.9622;258.2086
P84090;ERH_HUMAN;ERH;Enhancer of rudimentary homolog;4942.5186;3423.1106;3805.3438;3471.5935;1991.5507;5303.8101;4919.3491;4461.1665;6439.5552;3319.8496;5855.0791;6857.2407;7885.8999;5827.7441;5379.1606;4049.1777;5743.6797;5279.811;5729.1323;3109.9038
P84095;RHOG_HUMAN;RHOG;Rho-related GTP-binding protein RhoG;76.5948;95.0821;42.6569;61.5733;64.9896;82.6077;53.473;44.5881;60.207;;70.9897;55.2807;60.4743;26.0174;53.9338;120.8565;46.3061;58.4235;;33.528
P84098;RL19_HUMAN;RPL19;Large ribosomal subunit protein eL19;1651.3734;379.7681;407.4444;974.1048;1182.0369;943.5152;660.5366;435.1703;1666.4379;901.5945;330.3943;278.8933;280.9957;959.9182;336.43;260.369;318.6666;276.0403;655.2389;414.8011
P84103;SRSF3_HUMAN;SRSF3;Serine/arginine-rich splicing factor 3;1705.6506;2691.7585;3686.9021;2704.5469;1756.3132;2012.6705;3390.095;5697.7393;3667.1482;2426.8958;1332.3816;4801.2173;3439.0273;6323.6377;3182.7615;1521.092;4228.2461;2953.2749;5757.0171;4696.3652
"P86790;P86791";"CCZ1B_HUMAN;CCZ1_HUMAN";"CCZ1B;CCZ1";"Vacuolar fusion protein CCZ1 homolog B;Vacuolar fusion protein CCZ1 homolog";98.1807;81.7588;39.0599;55.3648;;67.5828;49.393;26.2065;39.2111;;51.9161;70.7523;51.627;29.9373;;98.9104;63.8752;68.7306;70.5858;83.5025
P98088;MUC5A_HUMAN;MUC5AC;Mucin-5AC;134.6272;140.6694;176.3734;155.3084;206.9654;113.5748;116.8169;125.1637;205.5608;141.7761;18.4699;;;;;;29.5901;;;
P98155;VLDLR_HUMAN;VLDLR;Very low-density lipoprotein receptor;86.0517;155.8816;112.0317;92.6234;94.0335;;74.7788;57.0231;63.0696;91.1102;42.0374;45.0252;38.2602;;;71.1058;43.0019;47.4147;46.498;34.381
P98160;PGBM_HUMAN;HSPG2;Basement membrane-specific heparan sulfate proteoglycan core protein;70.2061;85.5438;86.8301;54.086;101.1744;108.9479;89.7858;97.4856;81.6811;66.0827;67.7525;57.381;38.904;54.9456;50.2735;93.0933;52.0295;49.1517;46.3831;45.4598
P98179;RBM3_HUMAN;RBM3;RNA-binding protein 3;63.0805;98.4339;143.9335;29.865;;;101.1062;243.4592;29.5768;;342.5128;216.6608;79.0776;30.9113;;480.0723;213.9486;51.2253;31.9485;18.8488
P99999;CYC_HUMAN;CYCS;Cytochrome c;169.6227;122.1948;242.2759;217.5158;180.552;119.2605;283.968;448.8723;194.3241;154.9045;126.243;80.2419;154.5309;286.632;496.5577;106.7882;129.8242;150.0675;232.5201;159.0436
Q00059;TFAM_HUMAN;TFAM;Transcription factor A, mitochondrial;1590.9941;607.6558;1077.2557;986.0327;895.9896;1095.9872;553.2443;1337.4;2022.7;1164.926;773.5342;978.9387;861.5292;1067.9249;974.7808;828.0635;787.2247;2036.6268;1186.608;1460.7109
Q00325;S25A3_HUMAN;SLC25A3;Solute carrier family 25 member 3;836.1269;1524.4907;750.8189;1095.2072;1281.2117;1001.2419;1028.9308;830.2515;860.2888;1216.0044;756.7094;1000.8218;784.0959;513.0732;849.9306;1050.0691;916.7291;1090.6169;497.3959;710.3754
Q00341;VIGLN_HUMAN;HDLBP;Vigilin;560.7921;321.136;246.9012;177.8954;212.0811;208.7277;283.4872;210.9066;193.272;274.0027;373.4391;360.7898;204.2979;195.2419;233.7092;464.3513;393.5439;224.3591;195.0706;271.5526
Q00403;TF2B_HUMAN;GTF2B;Transcription initiation factor IIB;;54.3496;84.054;37.3519;;;36.6644;78.4251;55.3086;41.3496;85.5841;93.2737;73.6039;;71.5986;86.7527;106.1514;94.5648;91.7905;93.326
Q00535;CDK5_HUMAN;CDK5;Cyclin-dependent kinase 5;508.7637;712.7428;411.8388;616.7774;766.2682;543.6402;493.1896;436.7231;809.3249;878.645;632.5564;571.1137;470.0682;621.1193;596.1112;931.801;595.1113;486.6267;747.671;702.6786
Q00577;PURA_HUMAN;PURA;Transcriptional activator protein Pur-alpha;130.7157;76.9077;88.2686;109.0656;96.6339;182.7474;115.8257;114.8781;106.1307;80.1171;61.309;60.6162;90.3471;149.0532;111.6123;78.8073;73.9406;87.6566;132.3552;124.4127
Q00610;CLH1_HUMAN;CLTC;Clathrin heavy chain 1;440.1339;303.0191;254.8982;475.3397;888.9369;328.8077;308.1869;285.7846;373.7498;690.5685;369.0721;212.7169;285.7395;258.2185;325.0243;433.7976;350.8659;206.2595;209.5347;205.8421
Q00688;FKBP3_HUMAN;FKBP3;Peptidyl-prolyl cis-trans isomerase FKBP3;100.0936;137.9366;206.3208;68.8599;;124.8778;193.1406;167.4648;110.2451;;220.663;159.4168;;;102.9808;213.6042;166.3338;151.0857;100.205;73.0743
Q00839;HNRPU_HUMAN;HNRNPU;Heterogeneous nuclear ribonucleoprotein U;306.1512;548.1293;403.0623;356.1431;488.4681;409.0219;554.5358;354.6374;383.9886;468.7803;409.4511;668.1722;434.0971;443.763;458.1424;447.0884;502.2527;497.2156;501.1139;264.0719
Q01081;U2AF1_HUMAN;U2AF1;Splicing factor U2AF 35 kDa subunit;443.209;639.5804;1183.4222;574.403;1347.8884;567.5162;1154.4338;1202.0437;732.5273;1537.0212;799.0613;1042.3488;509.9879;1421.4799;2354.6958;462.6371;1039.9783;797.9216;1838.8403;1703.6232
Q01082;SPTB2_HUMAN;SPTBN1;Spectrin beta chain, non-erythrocytic 1;567.2018;539.1342;475.0786;521.7344;612.8701;559.6978;655.49;407.4756;630.1342;702.3016;864.2646;631.0655;547.0949;626.0978;674.869;889.8831;730.6229;573.0357;644.778;608.0528
Q01085;TIAR_HUMAN;TIAL1;Nucleolysin TIAR;65.2364;189.8845;259.3159;83.9432;161.0307;;272.1255;210.6621;103.4615;115.3055;226.8907;225.2419;111.3968;;179.3189;245.595;189.612;132.7925;101.1793;117.7612
Q01105;SET_HUMAN;SET;Protein SET;288.7416;265.6556;579.3358;328.1698;283.9827;178.9752;270.4124;658.2782;304.6581;310.1046;599.9335;495.3362;436.2652;451.4546;289.0956;371.1029;458.668;324.7907;340.4635;201.1862
Q01469;FABP5_HUMAN;FABP5;Fatty acid-binding protein 5;5625.4429;780.0279;6419.8496;5394.3984;2513.4597;3222.9158;1060.5454;4776.0566;2468.4412;2183.8926;386.5041;426.2331;1762.017;2484.4412;886.9163;388.5133;428.0544;633.2752;2743.9629;1370.92
Q01518;CAP1_HUMAN;CAP1;Adenylyl cyclase-associated protein 1;273.0327;124.4154;101.4409;159.8837;233.5253;183.5677;92.3441;121.3124;161.5713;96.6749;144.5252;95.3161;140.2729;148.3576;222.4464;216.1533;95.8112;93.1736;198.7006;100.9462
Q01650;LAT1_HUMAN;SLC7A5;Large neutral amino acids transporter small subunit 1;953.9263;806.3832;458.4823;1427.3192;822.5688;828.876;694.3669;510.9559;1044.3424;922.9247;226.1805;97.2094;403.2927;155.6388;225.9328;182.9215;134.1796;410.5562;75.5966;124.7745
Q01658;NC2B_HUMAN;DR1;Protein Dr1;;125.3609;186.9229;89.6018;78.8893;;83.1963;152.7172;91.0127;178.6731;234.3294;215.5409;186.6317;200.8623;176.2192;157.3601;224.806;228.5453;181.8898;128.8369
Q01780;EXOSX_HUMAN;EXOSC10;Exosome complex component 10;;25.8923;29.3999;22.1198;46.6691;20.4114;25.5865;29.1377;27.9165;;23.8149;36.9557;30.2602;27.4673;33.6007;35.797;28.768;29.5673;31.8441;33.6235
Q01813;PFKAP_HUMAN;PFKP;ATP-dependent 6-phosphofructokinase, platelet type;134.4399;113.0356;68.7184;197.4156;221.7881;218.3629;79.875;75.5404;148.559;178.3436;169.1247;154.7313;231.2714;103.2566;129.9408;240.6873;124.9192;274.8221;113.4652;122.7805
Q01814;AT2B2_HUMAN;ATP2B2;Plasma membrane calcium-transporting ATPase 2;1237.6598;1912.6144;823.6221;1783.776;;1148.6808;1037.882;414.6057;1711.9542;1668.0809;819.9171;1052.3187;1518.8157;1543.483;;1033.4086;728.3948;1849.5162;;1433.8151
Q01844;EWS_HUMAN;EWSR1;RNA-binding protein EWS;111.0339;201.4686;283.5946;72.1094;101.4128;236.4708;188.3989;207.9653;145.5329;101.7106;792.9338;591.448;324.7514;217.9528;350.1691;758.6346;640.7915;374.5003;280.3275;218.9866
Q01968;OCRL_HUMAN;OCRL;Inositol polyphosphate 5-phosphatase OCRL;;269.7474;192.6227;171.5802;141.7376;;194.3724;180.8101;198.5025;186.9843;277.0467;255.9955;174.691;217.2904;260.4376;321.5616;263.4168;175.4397;180.2942;182.9734
Q01973;ROR1_HUMAN;ROR1;Inactive tyrosine-protein kinase transmembrane receptor ROR1;188.6917;468.4432;237.6866;276.289;201.8943;218.4271;251.8199;165.2859;237.9511;227.0346;319.8766;341.0374;333.4546;190.6593;251.2375;309.0912;326.479;372.3013;204.0455;181.7034
Q02040;AK17A_HUMAN;AKAP17A;A-kinase anchor protein 17A;110.1551;136.3275;66.1116;104.8437;197.604;93.2362;104.4469;68.2773;101.9321;;119.6668;88.209;55.0706;71.5684;98.8462;133.3389;103.9933;86.3197;99.8116;98.7558
Q02241;KIF23_HUMAN;KIF23;Kinesin-like protein KIF23;47.645;66.025;76.6325;75.3292;69.3907;39.7129;46.2512;66.7726;106.7493;110.6703;88.7422;87.6952;87.2955;76.98;67.9884;100.7336;81.1602;79.2517;70.8624;55.0379
Q02297;NRG1_HUMAN;NRG1;Pro-neuregulin-1, membrane-bound isoform;221.5213;251.3298;231.9782;146.7953;174.9444;367.0867;272.2646;313.9505;193.5147;323.6403;;;68.9128;;;;48.1397;;;
Q02338;BDH_HUMAN;BDH1;D-beta-hydroxybutyrate dehydrogenase, mitochondrial;;;22.2475;22.4934;58.8283;;16.1308;21.41;15.5234;;86.5163;70.5386;57.5848;;71.9357;127.1371;56.2842;70.6492;;64.6437
Q02413;DSG1_HUMAN;DSG1;Desmoglein-1;5082.5947;634.9102;604.1588;1298.0116;742.4274;1368.1969;467.178;708.8138;1040.6835;1087.8068;398.3751;426.6;1666.7793;1301.4113;788.6342;653.6668;588.3965;630.7607;977.1165;1537.7443
Q02809;PLOD1_HUMAN;PLOD1;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1;79.4225;79.8618;81.8331;52.0067;;;85.9938;80.9131;32.8414;68.5887;87.0003;87.0268;67.7929;60.763;96.8857;116.5821;73.484;71.9315;65.9092;62.9737
Q02818;NUCB1_HUMAN;NUCB1;Nucleobindin-1;836.1837;287.7845;291.2431;323.2512;164.5651;763.947;310.4874;284.0403;375.9905;319.9142;775.0472;295.2981;310.2389;358.7115;276.0884;659.623;308.8197;351.9111;288.5557;228.7616
Q02878;RL6_HUMAN;RPL6;Large ribosomal subunit protein eL6;901.9739;642.1942;1127.6328;977.2839;2452.5132;1032.8848;626.3087;1123.6735;870.0922;2172.9612;312.879;793.4832;743.8235;860.5319;1036.8558;750.8387;712.9485;733.2026;543.4254;1095.7255
Q02978;M2OM_HUMAN;SLC25A11;Mitochondrial 2-oxoglutarate/malate carrier protein;158.9602;161.01;96.6111;161.5361;183.4073;157.8567;122.7025;111.541;177.2034;222.1981;100.0694;102.3039;103.9999;83.7571;129.7187;136.8151;105.0888;154.4456;120.2336;129.54
Q03111;ENL_HUMAN;MLLT1;Protein ENL;;58.8228;65.0641;53.278;;;33.6075;83.2533;97.1442;61.0793;133.649;77.5224;104.9755;232.5619;147.9376;102.7456;70.3721;113.0161;232.5492;133.2027
Q03135;CAV1_HUMAN;CAV1;Caveolin-1;3680.261;1919.6086;749.3102;1985.1959;267.6345;5159.6592;2037.0881;3019.7583;3688.5833;510.4181;4040.7319;796.2068;2609.4502;1000.4417;649.8118;3283.4304;3435.9348;1308.8491;1127.8956;3406.2996
Q03169;TNAP2_HUMAN;TNFAIP2;Tumor necrosis factor alpha-induced protein 2;118.4432;165.8358;84.8627;132.3472;87.0221;145.0541;114.1591;110.0767;111.9282;131.9432;137.5431;130.3902;140.0897;63.3995;105.7757;172.5027;125.5464;152.1441;72.9065;107.557
Q03252;LMNB2_HUMAN;LMNB2;Lamin-B2;;137.115;183.5732;154.3895;165.6673;;143.929;146.6583;215.6369;133.5816;320.4592;305.6812;195.2522;226.0741;238.2114;345.5699;322.762;190.2508;248.2137;212.3035
Q03701;CEBPZ_HUMAN;CEBPZ;CCAAT/enhancer-binding protein zeta;113.3193;100.0413;63.4883;111.6084;113.8818;;80.2125;56.4626;98.7876;;109.0907;96.3982;83.9517;72.4676;82.0749;147.938;102.1129;131.159;111.2688;118.5999
Q04323;UBXN1_HUMAN;UBXN1;UBX domain-containing protein 1;;193.4904;130.2985;92.1657;;;;136.9182;59.5939;;163.777;178.5887;98.6659;;;345.0025;218.1263;133.3341;;
Q04637;IF4G1_HUMAN;EIF4G1;Eukaryotic translation initiation factor 4 gamma 1;133.2916;156.1848;217.5781;161.6183;261.327;156.6808;198.4193;180.3231;131.7324;178.5551;422.2635;361.1417;263.5546;222.6452;331.7839;503.4706;416.0536;284.2408;163.6084;270.1375
Q04695;K1C17_HUMAN;KRT17;Keratin, type I cytoskeletal 17;3238.948;506.9069;421.0227;2867.1765;1933.4541;1014.4507;689.0241;408.7484;1223.1721;795.5551;326.3927;311.3307;2210.8943;1156.8035;528.5247;832.2161;397.426;543.9311;3558.3154;1070.1547
Q04760;LGUL_HUMAN;GLO1;Lactoylglutathione lyase;313.994;52.982;57.8867;;72.8764;;57.2645;60.3527;69.5063;;197.246;133.0836;91.3344;113.7981;91.6418;164.1061;114.1059;96.1371;99.9131;123.8485
Q04828;AK1C1_HUMAN;AKR1C1;Aldo-keto reductase family 1 member C1;5475.3159;8171.8882;6590.5259;7167.4443;2841.0579;5363.5488;5157.6084;5730.2095;7551.4722;4849.5669;215.7544;217.9458;210.7718;84.2169;209.9172;299.8458;213.3414;261.8453;127.137;348.5584
Q04837;SSBP_HUMAN;SSBP1;Single-stranded DNA-binding protein, mitochondrial;685.8672;2378.6697;2460.7583;1031.431;795.5292;642.7422;1564.9937;2081.1279;1090.8973;848.7435;2110.458;2998.8069;1436.6813;1093.8988;1808.8965;2523.9893;2103.095;1499.2644;973.2277;859.3563
Q04912;RON_HUMAN;MST1R;Macrophage-stimulating protein receptor;;75.3487;81.3473;229.1564;;;73.3917;;234.3296;219.6159;146.4171;126.991;227.9422;207.7927;263.6712;176.056;154.9293;249.443;224.8227;229.386
Q04917;1433F_HUMAN;YWHAH;14-3-3 protein eta;90.8936;75.2286;83.257;101.7719;109.8437;109.416;76.2673;100.947;164.3135;112.7015;80.3657;59.7395;64.7274;95.2234;66.1561;101.6915;62.5852;50.7887;90.0187;60.1363
Q04941;PLP2_HUMAN;PLP2;Proteolipid protein 2;271.1503;907.4086;305.3536;289.6275;472.9623;460.1324;853.6915;252.1373;381.2272;264.5478;156.146;113.4652;102.8871;;125.1441;207.7041;126.1853;94.32;149.4294;138.5184
Q05048;CSTF1_HUMAN;CSTF1;Cleavage stimulation factor subunit 1;;53.2699;37.5889;56.4643;;;58.1181;48.9433;61.5138;93.7198;59.0825;53.4709;43.6131;;;106.8821;52.0462;40.8226;87.6804;81.6908
Q05193;DYN1_HUMAN;DNM1;Dynamin-1;221.7933;81.4645;51.6034;87.6892;302.7328;184.5627;89.2886;57.4509;112.3716;219.6613;47.5115;28.7794;;61.1522;89.5358;143.5281;25.534;18.4619;37.0479;53.3375
Q05397;FAK1_HUMAN;PTK2;Focal adhesion kinase 1;135.2412;157.0932;141.5925;102.8342;106.9021;184.2929;151.0766;152.5906;97.6317;123.444;252.1601;207.0044;133.0047;85.2533;141.423;280.1583;277.6209;153.1956;130.4084;137.2125
Q05519;SRS11_HUMAN;SRSF11;Serine/arginine-rich splicing factor 11;376.567;506.782;470.5742;276.7542;641.0895;529.9398;682.9265;600.4373;543.1735;790.3023;673.0206;706.5619;521.627;1052.4464;1900.385;698.1067;730.5266;499.8014;962.7173;1630.1149
Q06124;PTN11_HUMAN;PTPN11;Tyrosine-protein phosphatase non-receptor type 11;308.8221;509.4469;431.7655;483.8509;283.2013;300.3882;274.6939;349.2049;384.4928;374.7482;338.0833;293.4037;348.9724;380.4288;304.3998;460.3625;291.9341;379.0258;322.08;264.3506
Q06203;PUR1_HUMAN;PPAT;Amidophosphoribosyltransferase;;74.9677;54.9848;110.9695;;;71.3915;48.8875;106.8535;;132.4236;108.5519;117.2381;;96.5946;174.9644;126.4525;153.0368;113.3476;138.2749
Q06210;GFPT1_HUMAN;GFPT1;Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1;58.6001;139.6213;61.3146;69.4275;143.4792;56.4685;66.7214;52.056;61.7022;92.2481;197.8321;313.6498;84.128;45.6081;128.7139;469.2929;359.8944;77.1821;52.4875;71.275
Q06265;EXOS9_HUMAN;EXOSC9;Exosome complex component RRP45;130.0199;130.3038;132.3885;139.0045;74.2199;104.3405;195.9039;149.0033;112.3004;88.4198;143.7734;195.4495;114.2524;139.4248;95.043;126.1856;200.5038;123.2823;146.5899;95.5657
Q06323;PSME1_HUMAN;PSME1;Proteasome activator complex subunit 1;170.4;126.4747;134.935;228.8749;190.3502;236.869;116.0989;235.3632;214.3979;200.7524;367.795;167.1502;235.6835;241.8045;166.5455;194.6384;295.0771;180.6407;233.0502;153.1634
Q06330;SUH_HUMAN;RBPJ;Recombining binding protein suppressor of hairless;72.886;152.034;151.2016;57.4818;119.1132;;118.5452;174.4498;63.1901;84.5966;485.4233;479.9184;342.3528;288.7358;344.8976;500.9724;481.5257;361.1652;313.5712;177.625
Q06587;RING1_HUMAN;RING1;E3 ubiquitin-protein ligase RING1;;104.442;111.4775;44.8266;80.8125;;57.204;64.208;119.0881;;62.4328;67.5339;35.6671;36.2366;40.5883;84.1316;61.8228;37.3886;45.5924;53.7466
Q06787;FMR1_HUMAN;FMR1;Fragile X messenger ribonucleoprotein 1;224.7466;341.1352;328.5549;209.9966;372.2321;343.1156;453.9005;370.1033;465.7068;259.1896;137.9749;253.4165;219.2685;206.8274;243.124;206.0794;259.4018;254.5388;287.1781;313.3084
Q06830;PRDX1_HUMAN;PRDX1;Peroxiredoxin-1;24794.3809;337762.7813;110118.8203;113369.2813;114393.1484;24337.9805;76413.2734;79180.2734;64032.9961;97640.1094;55693.7656;135895.2813;32462.0527;9564.207;7383.103;161774.3438;127225.5313;68255.4531;10586.0117;14765.4307
Q07020;RL18_HUMAN;RPL18;Large ribosomal subunit protein eL18;738.9944;595.8062;649.2499;748.1136;1690.1735;668.6716;632.6927;766.4644;540.535;1504.179;280.4441;665.447;454.7971;621.6362;702.1749;271.746;588.4506;468.1659;637.8107;852.0301
Q07021;C1QBP_HUMAN;C1QBP;Complement component 1 Q subcomponent-binding protein, mitochondrial;371.3098;269.0859;1122.1252;641.6376;333.151;239.4499;425.3586;1496.1141;557.7935;248.3274;327.0367;196.4465;293.9182;260.4237;139.5821;166.3504;214.604;272.2338;277.2277;137.6319
Q07065;CKAP4_HUMAN;CKAP4;Cytoskeleton-associated protein 4;516.6401;867.8967;509.2117;762.0881;923.0805;591.7023;656.7289;417.0001;592.5036;768.6985;681.4317;645.3278;888.2347;468.4594;651.9359;824.4572;611.939;1306.2004;469.799;628.0038
Q07157;ZO1_HUMAN;TJP1;Tight junction protein ZO-1;266.9087;134.6006;190.5373;240.3334;505.8783;296.871;148.1629;187.5925;509.2337;618.24;131.7219;122.5849;126.6262;245.7933;251.749;201.9522;117.4046;163.9172;252.8988;288.2973
Q07666;KHDR1_HUMAN;KHDRBS1;KH domain-containing, RNA-binding, signal transduction-associated protein 1;137.0354;328.0672;280.0583;135.0338;222.6367;141.6274;238.2939;268.7146;141.2536;205.8752;459.2286;624.5219;421.8403;443.4796;584.58;529.804;579.0873;526.4113;327.3626;357.3156
Q07812;BAX_HUMAN;BAX;Apoptosis regulator BAX;112.0817;121.924;58.3165;139.6579;90.5415;163.5135;124.8062;113.4277;105.9389;107.4626;90.6629;64.8955;101.4371;60.4911;100.105;139.5523;95.0131;147.7094;90.9546;105.2933
Q07817;B2CL1_HUMAN;BCL2L1;Bcl-2-like protein 1;79.5948;173.3394;105.2427;116.0421;121.6484;164.5295;165.8544;170.6655;109.4127;109.0023;48.0243;73.4241;46.4514;;91.5393;;57.9722;55.7651;;66.7838
Q07954;LRP1_HUMAN;LRP1;Prolow-density lipoprotein receptor-related protein 1;356.4434;456.6739;261.5172;542.8486;405.735;524.2834;494.599;409.7079;833.6967;956.8535;482.3262;430.5734;437.9361;361.8787;417.4838;662.8973;462.1809;603.4402;412.7936;438.2707
Q07955;SRSF1_HUMAN;SRSF1;Serine/arginine-rich splicing factor 1;1103.3417;3800.5425;2045.8451;1946.3356;2383.3105;2061.1353;4994.1626;3586.9229;3519.5815;3432.6721;3239.9924;7317.7759;3331.396;4387.5322;4635.1836;5362.3901;7326.853;4488.6602;4618.7153;6648.1611
Q07973;CP24A_HUMAN;CYP24A1;1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial;432.2558;341.1199;329.9007;390.6076;263.3954;347.8595;239.935;297.6261;417.2289;368.5847;;;;;;;;;;
Q08170;SRSF4_HUMAN;SRSF4;Serine/arginine-rich splicing factor 4;;;33.2553;31.2466;;;17.9915;53.6137;28.9407;;25.0216;19.064;21.6321;89.5307;49.1151;13.3378;21.6333;27.8093;61.3105;42.536
Q08188;TGM3_HUMAN;TGM3;Protein-glutamine gamma-glutamyltransferase E;1394.3394;249.1779;892.317;1280.5645;1191.0216;550.2686;232.5019;1042.4114;621.7006;607.7248;194.8463;193.7029;670.1788;847.3857;459.5578;211.4527;253.3325;344.521;666.4866;860.6976
Q08209;PP2BA_HUMAN;PPP3CA;Protein phosphatase 3 catalytic subunit alpha;181.3601;180.2652;139.0247;186.1142;165.8486;160.6475;144.8086;145.5815;159.433;176.7446;229.174;195.7791;176.2456;184.5191;138.4724;235.2794;180.6204;200.2251;174.3794;163.7335
Q08211;DHX9_HUMAN;DHX9;ATP-dependent RNA helicase A;618.6242;1054.4044;1349.9769;619.5364;742.0251;757.3495;1386.4883;1270.1316;641.9727;925.9825;840.157;1292.7219;1041.5996;1137.1372;1189.704;861.9511;1020.112;1064.5128;1071.8549;1051.5881
Q08257;QOR_HUMAN;CRYZ;Quinone oxidoreductase;447.5644;566.1263;739.7563;499.5283;414.7794;363.9655;654.0914;717.6837;510.4828;477.8453;116.4155;114.8127;92.4699;;;164.3383;127.1329;90.5523;;
Q08345;DDR1_HUMAN;DDR1;Epithelial discoidin domain-containing receptor 1;189.22;220.7968;148.4817;283.1938;211.5495;246.0401;108.3895;110.6543;226.6073;225.5883;644.2065;563.4082;1074.6869;1000.7354;892.0696;787.0369;473.3835;1367.8309;748.0244;781.8668
Q08378;GOGA3_HUMAN;GOLGA3;Golgin subfamily A member 3;679.9639;702.2756;443.192;765.2599;1129.5865;805.7119;679.535;279.3035;983.5331;1122.8212;350.2743;326.4069;418.5869;1084.5371;978.2073;518.6815;360.2751;446.4161;1044.6874;744.5474
Q08379;GOGA2_HUMAN;GOLGA2;Golgin subfamily A member 2;104.2075;138.9722;141.6943;103.0693;166.5787;165.0695;103.0638;137.7158;104.3766;156.6192;262.5647;265.1263;214.4234;213.9746;235.5422;365.6093;318.0649;214.8113;182.3065;279.2239
Q08380;LG3BP_HUMAN;LGALS3BP;Galectin-3-binding protein;236.5579;128.8691;214.8245;302.2691;265.2808;236.7044;144.3255;276.9289;339.2999;206.0327;651.8979;401.4981;774.321;915.6051;864.2983;491.9393;535.4231;856.4329;941.7891;585.3204
Q08431;MFGM_HUMAN;MFGE8;Lactadherin;664.2975;2160.7146;1054.7742;675.9631;487.319;764.1633;1085.8162;850.2672;515.93;505.993;2835.7874;2118.5347;1353.5208;359.2134;678.6391;3712.4485;1704.7032;1503.9261;421.5026;622.5535
